일반차량 전일 월정기요금,주간 월정기요금,야간 월정기요금,주차요금 지불방식,총주차대수,주차상한제,자율요일제,수정일자,특기사항,야간개방사업여부,지원주차장설치여부,주차장사진매수,도면매수,일반인 개방여부,GIS링크,과거 GIS링크,JM_ISCHK,기타사항,메모,JM_SJ_CONT,JM_KJ_CONT,JM_N_STTIME,JM_N_EDTIME,JM_OPN_STTIME,JM_OPN_EDTIME,JM_OPH_STTIME,JM_OPH_EDTIME,JM_OPE_STTIME,JM_OPE_EDTIME,JM_IN_CHARGE,대시민표출주차면수,공유주차장 코드,위도,경도
-,-,-,-,2,N,0,2019-12-31 0:00,11260-10100-079-3-1430020|면목동 1산 149번지 18호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.58671926,127.0828271
-,-,-,-,6,N,0,2019-12-31 0:00,11260-10100-087-3-1432084|면목동 1산 405번지 39호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.584212,127.092322
-,-,-,-,3,N,0,2019-12-31 0:00,11260-10300-026-3-1432252|중화동 1산 330번지 46호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.60050339,127.0751584
-,-,-,-,2,N,0,2019-12-31 0:00,11260-10500-059-3-797838|망우동 1산 469번지 25호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.59869396,127.0986059
-,-,-,-,4,N,0,2019-12-31 0:00,11260-10300-039-3-942348|중화동 1산 296번지 51호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.59642652,127.0788355
-,-,-,-,4,N,0,2019-12-31 0:00,11260-10200-049-3-693026|상봉동 1산 136번지 90호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.59232634,127.074482
-,-,-,-,1,N,0,2019-12-31 0:00,11260-10400-008-3-1580844|묵동 1산 239번지 146호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.61162515,127.0765147
0,-,-,0,2,N,1,2019-12-31 0:00,11500-10300-140-3-1262103|화곡동 1산 345번지 13호,0,0,0,0,1,1.15001E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,37.53063125,126.8429307
0,-,-,0,7,N,1,2019-12-31 0:00,11500-10300-087-3-1262108|화곡동 1산 1016번지 31호,0,0,0,0,1,1.15001E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,37.54448214,126.8345787
-,-,-,-,7,N,1,2019-12-31 0:00,11410-11100-58-3-4634|홍제동267번지5호,0,0,0,0,2,1.14101E+18,1.14101E+18,0, 주차면추가사용중,-,-,-,-,-,-,-,-,-,-,-,-,7,1,37.59151249,126.9484748
-,-,-,-,9,N,0,2019-12-31 0:00,11260-10400-008-3-1435589|묵동 1산 240번지 22호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.61076084,127.0755879
-,-,-,-,6,N,0,2019-12-31 0:00,11260-10200-056-3-692969|상봉동 1산 87번지 15호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.59448297,127.0891414
-,-,-,-,8,N,0,2019-12-31 0:00,11260-10100-072-3-1069329|면목동 1산 74번지 45호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.58991202,127.0923877
-,-,-,-,7,N,0,2019-12-31 0:00,11260-10400-003-3-862466|묵동 1산 62번지 27호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.615629,127.081687
